FID,Lat,Long,TOT_POP,BU_TOT
265,6.6694446,2.0680556,3535,2
266,6.5041666,2.0022223,8930,0
267,6.4893,2.32654,12481,0
268,6.49444,2.1425,1418,0
269,6.5708332,2.1724999,11952,0
270,6.5083332,2.1769445,2677,0
271,6.805,1.78389,3107,4
272,6.8575,1.81028,2304,0
273,7.02111,1.72472,2550,8
274,6.8888888,1.8402778,1557,0
275,7.73358,2.20256,4903,0
276,6.83611,2.45833,702,1
277,6.98333,2.46389,791,3
278,6.88139,2.00833,1245,8
279,6.72861,1.87194,1208,0
280,6.90444,1.94694,957,2
281,6.604722,2.3008335,4989,1
282,7.2791667,2.1777778,1759,2
283,7.1819444,2.2333333,800,0
285,6.9347224,1.8477777,1566,2
286,7.211417,2.340976,1005,11
287,7.23056,2.21806,16994,0
288,6.97861,1.92528,1555,1
289,7.26444,2.15,15938,0
290,6.72083,2.28528,10987,0
291,7.2305555,2.1083333,5690,0
292,6.61667,2.35,3152,13
293,7.22859,2.1948,72338,0
294,7.8166666,2.1213889,3187,0
296,7.25,2.1724999,1186,0
297,6.66722,1.69361,503,0
298,6.55972,1.83611,1580,0
299,7.2194443,2.0652778,2135,0
300,6.88333,2.50194,1675,7
301,6.90972,2.08194,734,2
