"","Lat","Long","TOT_POP","BU_TOT","FID","MeanTemp","Precip_mm","MeanFCPerc","StdDevFCPerc","FLOSS_ha","FGAIN_ha","Forest","Agric","ShrGra","Urb","Water","MeanNDVI","SdNDVI"
"99",6.7775,2.27389,1000,0,179,27.2,1085,20.79337856,7.225140051,170.2943772,103.8081191,0,1,0,0,0,0.3319501676875,0.141508074679761
"100",6.7955556,2.321389,1344,0,146,27.2,1103,19.29099269,5.187474048,66.25447936,39.72071903,0,1,0,0,0,0.2856446020625,0.158055641578945
"101",6.75778,2.42917,1042,2,148,27.7,1114,17.58476341,3.731280107,5.011075222,0.2663765381,0.07,0.93,0,0,0,0.377492212705882,0.247448620231613
"102",6.79417,2.44583,332,5,154,27.7,1111,17.13634533,3.935815595,3.508296171,0.08878781738,0.17,0.83,0.01,0,0,0.276744421111111,0.178575069729446
"103",6.83611,2.45833,702,1,276,27.8,1110,15.40654925,4.719752159,7.096694941,0.5326633667,0.03,0.96,0.01,0,0,0.350900856823529,0.250251496135194
"104",6.84417,2.45583,1772,6,110,27.8,1106,15.63709899,5.279239388,5.670600685,0.5326633667,0.03,0.95,0.02,0,0,0.292802161176471,0.22310304149677
"105",6.87417,2.44944,904,2,130,27.8,1100,16.13064478,5.951225252,5.148759192,1.952982941,0.05,0.74,0.22,0,0,0.29684893275,0.181776736290947
"106",6.89444,2.45056,464,1,58,27.8,1098,17.20872354,6.937295078,27.25218609,1.952927332,0.04,0.62,0.34,0,0,0.2751923961875,0.144011478698104
"107",6.91028,2.44722,29656,21,82,27.8,1094,16.15446931,5.969518398,19.26680766,0.1775279602,0.03,0.52,0.45,0,0,0.268211222625,0.146831538605771
"108",6.90583,2.4475,486,2,75,27.8,1095,16.53950602,6.188966246,25.27481883,0.1775370178,0.03,0.55,0.41,0,0,0.3413848131875,0.207637906183453
"109",6.9069443,2.4449999,36954,0,211,27.8,1095,16.29054302,5.546990173,15.32564592,0,0.03,0.53,0.43,0,0,0.271976393125,0.174241246796126
"110",6.945,2.42,4905,3,86,27.8,1083,15.19345459,5.001973658,4.550033623,0.5325589233,0.03,0.41,0.56,0,0,0.248327007125,0.124503055307443
"111",6.93333,2.4125,685,3,67,27.9,1083,16.11998332,5.849149159,6.213270264,0.4438012695,0.02,0.43,0.55,0,0,0.34159926575,0.216433822374982
"112",6.92083,2.41528,1393,8,39,27.8,1085,19.81392809,7.494087933,8.243167148,0.1775263794,0.04,0.38,0.58,0,0,0.3529009901875,0.207024891310135
"113",6.97278,2.43611,1014,3,24,27.7,1086,16.10221438,3.768326412,5.950291343,1.6863177,0.03,0.33,0.64,0,0,0.321575458875,0.1805584725277
"114",6.98333,2.40889,1012,1,167,27.9,1073,13.71334088,5.052134639,3.932587467,0.08875353394,0.06,0.36,0.59,0,0,0.31946768775,0.183053394902551
"115",6.97694,2.41889,449,2,127,27.9,1076,13.81954538,4.822586488,4.348887299,0.3550113953,0.06,0.39,0.55,0,0,0.1622179365,0.0847219078999027
"116",7.00139,2.39028,889,4,195,27.9,1068,16.78088365,4.649959092,5.692413507,0,0.11,0.31,0.58,0,0,0.320889797375,0.221057368958135
"117",7.0149999,2.4144444,4553,0,123,27.9,1071,15.0973831,4.225041698,3.385919333,0.1774962524,0.06,0.16,0.78,0,0,0.279311827375,0.159522836316805
"118",7.06111,2.27361,4810,5,180,27.9,1053,21.1025598,9.347823821,14.47212202,0.5324275085,0.08,0.47,0.44,0,0,0.2309408275625,0.102375630044944
"119",6.97167,2.24167,10030,1,216,27.9,1053,18.24279912,3.275873101,18.79981903,2.840162677,0.08,0.71,0.2,0,0,0.1861289268125,0.0539522091542895
"120",7.05194,2.20278,820,1,112,28,1049,19.11330582,7.006519771,89.64397962,5.869296776,0.02,0.31,0.67,0,0,0.310531256625,0.183585845391867
"121",6.9625,2.05417,811,2,144,27.7,1041,22.71470819,6.057645597,21.20776014,0.8792120526,0.13,0.7,0.17,0,0,0.2537175888125,0.125193214135995
"122",6.96722,2.04306,937,0,45,27.7,1041,21.18552063,6.357461474,35.56914661,1.441993942,0.1,0.67,0.23,0,0,0.3490109518125,0.197752326405045
